﻿Filiale;site;n° parc GT;Categorie vehicule;Souscategorie vehicule;Poids;Date mise en service;Mode acquisition;Marque;Modele;Fournisseur;Immatriculation;Date 1ere immatriculation;Num serie;Commentaires;Ptac;Ptr;Puissance fiscale;Genre;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497761;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;13/12/2017;Mise à disposition;FENWICK;E16C;PSA Vesoul;;01/01/2013;L1138;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497762;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;;13/12/2017;Mise à disposition;FENWICK;L12;PSA Vesoul;;01/01/2004;G02;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497763;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;;13/12/2017;Mise à disposition;FENWICK;L12;PSA Vesoul;;01/01/2004;G03;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497764;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;;13/12/2017;Mise à disposition;FENWICK;L12;PSA Vesoul;;01/01/2005;G05;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497765;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;;13/12/2017;Mise à disposition;FENWICK;L12;PSA Vesoul;;01/01/2005;G06;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497766;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;;13/12/2017;Mise à disposition;FENWICK;L12;PSA Vesoul;;01/01/2005;G07;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497767;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;13/12/2017;Mise à disposition;JUNGHEINRICH;EJC112;PSA Vesoul;;01/01/2009;G26;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497768;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;13/12/2017;Mise à disposition;JUNGHEINRICH;EJC112;PSA Vesoul;;01/01/2009;G28;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497769;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;13/12/2017;Mise à disposition;JUNGHEINRICH;EJC112;PSA Vesoul;;01/01/2009;G29;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497770;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;13/12/2017;Mise à disposition;BT;PPS1200;PSA Vesoul;;01/01/1998;G32;;;;;;;;;;;
GT LOGISTICS.08;PSA Vesoul Condi;497771;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;13/12/2017;Mise à disposition;JUNGHEINRICH;EJC110;PSA Vesoul;;01/01/2008;G43;;;;;;;;;;;
