CODE ARTICLE CEA;INTITULÉ;ADRESSE;NOMBRE D'UC;FAMILLE PRODUIT;FOURNISSEUR;REF FOURNISSEUR;STOCK MINIMUM;STOCK ALERTE;N° DE LOT; PRIX UNITAIRE ;DATE D'ENTRÉE; PRIX DU STOCK FINAL ;ALERTE MINI;ALERTE  PREVISION;PEREMPTIONS
SIL_300_143 ;STOCK RIVE 300_143;RIVE_SIL;50;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_143;300_143;;3;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_144;SOI_PRIME_12NM-145NM_P_CZ_<100>_775UM_10-15OHM;;136;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_147A;SILICIUM_P+_PRIME_FR_<100>_775UM_1,08-1,8OHM_DES4°;;2;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_148A;SOI_PRIM_14-25NM_P_<100>_775UM_0°OF_10-15OHM_RA0.2;;63;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_149A;SOI_PRIME_310NM-720NM;;1;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_150;SOI_MON_14-25NM_P_<100>_775UM_0°OF_10-15OHM_RA0.08;;70;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_151;CARRIER-ZONE-BOND_3MM;;0;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_152A;UTBOX15_PRO_PRIME_12-15NM_LOW-RA;;0;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_152A;STOCK RIVE UTBOX15_PRO_PRIME_12-15NM_LOW-RA;RIVE_SIL;3;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_153;SOI_MONITOR_14NM-20NM_10-15OHM;;100;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_155;STOCK RIVE 300_155 ;RIVE_SIL;100;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_155;300_155;;48;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_157;SOI_P_<100>_10-15OHM ;;59;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_158A;SOI_PRIME_220NM-2000NM_P_CZ_<100>_775UM ;;153;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_159;VERRE_EAGLE-XG_700UM_DSP_TTV<5UM;;62;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_160A;SILICIUM P <100> 0.5° ORIENTATION ;;53;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_162;SOI_PRIME_15-20NM_P_<100>_775µM_9-15OHMS;;13;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_167A;300MM-SOI-310-720NM;;100;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_300_168A;SIL MONITOR CZ(100)775µM 1-100OHM*CMSFQR 26*8MM ;;57;SILICIUM;;;;;; -   € ;; -   € ; ; ;
