CODE ARTICLE CEA;REGULATOR PARTS AVEC 2 VIS;ADRESSE;QTY FINAL
JNT_H04;CARTE ELECTRONIQUE POUR MICROSCOPE ;BAT 41G01E2;15
JNT_H05;POTENTIOMETRE DE PRECISION100KOHMS POUR BSA ;BAT 41G01E2;38
JNT_H23;COMMUTATEUR 3 POLES 4 POSITION POUR BSA ;BAT 41G01E2;1
JNT_H24;TRIAC KONFEKTION MIKROSKOPBEL ;BAT 41G01E2;4
JNT_H26;VIBRATION DAMPER ;BAT 41G01E2;21
LIT_B46;DISTANCE SLEEVE;BAT 41G01E2;1
COU_K24;MIRROIR FRONTAL;BAT 41G01E3;0
COU_K25;LOWER COOL PLATE ;BAT 41G01E3;2
COU_K29;O RING;BAT 41G01E3;0
COU_K34;CAPTEUR PORTE FERMÉE ;BAT 41G01E3;10
LIT_C87;OPTOCOUPLEUR DC ;BAT 41G01E3;2
MOT_004;WEC;BAT 41G01E3;3
JNT_P19;SPACER LONG 2MM MA8A;BAT 41G01E4;2
JNT_P20;SPACER COURT 2MM MA8B;BAT 41G01E4;4
JNT_P22;VALVE PCS;BAT 41G01E4;10
JNT_P23;KIT DE CALIBRATION WEC MA8;BAT 41G01E4;9
JNT_P25;TUBE PFA 3/8 ;BAT 41G01E4;8
JNT_P26;CUP INSERT INOX (SOUDURE SUR LE PLAT) ;BAT 41G01E4;6
JNT_P27;ECROU + ECROU BORGNE M5 ;BAT 41G01E4;14
JNT_P28;STYLET ECRAN TACTILE ACS300 ;BAT 41G01E4;3
JNT_G76;VACUUM VALVE VENTURI ;BAT 41G01F1;66
JNT_G77;SERRURE COATER DEV ;BAT 41G01F1;13
JNT_G78;ELECTROVANNE;BAT 41G01F1;96
JNT_G80;RELAIS G7L-1A-T;BAT 41G01F1;42
JNT_G83;VERIN SHUTTER;BAT 41G01F1;1
JNT_G86;FAN FILTER UNIT(X);BAT 41G01F1;2
DET_F11;CANNE DE RESINE;BAT 41G01F2;1
DET_F13;BOUCHON POUR PORTE FILTRE;BAT 41G01F2;4
DET_F14;WAFER TEACHING;BAT 41G01F2;7
DET_F15;DETECTEUR HUMIDITE;BAT 41G01F2;3
DET_K93;PHOTO SENSOR EE-SX671;BAT 41G01F2;2
DET_K95;PLATE NETTOYAGE BOL;BAT 41G01F2;1
DET_K96;SPIN CHUCK;BAT 41G01F2;2
EMT_Y85;PIN CHUCK 200MM;BAT 41G01F2;1
BAG_F06;FILTRE N2;BAT 41G01F3;37
BAG_F10;RESIST NOZZLE;BAT 41G01F3;0
