ADRESSE;FAMILLE PRODUIT;DATE;PROJET;DEMANDEUR;DATE FIN DE PROJET;LOT;SORTIE;COMMENTAIRE;JOURS DE PEREMPTION
STOCK_EXTERNE_C1;SIL_EXTERNE;;;BRUNET;31/12/2017;FOURNITURE SOI;;;-610
STOCK_EXTERNE_C1;SIL_EXTERNE;;;FENOUILLET;31/12/2016;Q512041Q16 + 17;;;-245
STOCK_EXTERNE_C1;SIL_EXTERNE;;;PLANTIER;31/12/2017;Q641121;;;-610
STOCK_EXTERNE_C1;SIL_EXTERNE;;FONCTM3D;ALLOUTI;31/12/2016;T16S0323;;;-245
STOCK_EXTERNE_C1;SIL_EXTERNE;;IDEAL;ARGOUD;30/06/2015;T16S0391;;;305
STOCK_EXTERNE_C1;SIL_EXTERNE;;DOPTTF300 PHOT;EL ZAMMAR;31/12/2018;T18S0043;;;-975
STOCK_EXTERNE_C2;SIL_EXTERNE;;PANACHE;JAHAN;01/01/2018;AA249P;;;-611
STOCK_EXTERNE_C2;SIL_EXTERNE;;MAGESTE;PERISCO;31/03/2016;AD225P;;;30
STOCK_EXTERNE_C2;SIL_EXTERNE;;;LU;00/01/1900;LOT DEMO AMAT V LU;;;42490
STOCK_EXTERNE_C2;SIL_EXTERNE;;;DEPRAT;31/12/2016;Q450061;;;-245
STOCK_EXTERNE_C2;SIL_EXTERNE;;PANACHE;CHARPIN-NICOLLES;01/01/2018;T15S0867;;;-611
STOCK_EXTERNE_C2;SIL_EXTERNE;;DTSIFONCTM3D;ALLOUTI;31/12/2015;T16S0094;;;121
STOCK_EXTERNE_C2;SIL_EXTERNE;;ARKEMA;CHAMIOT;30/11/2019;T17S0213 ( BODHI #18);;;-1309
STOCK_EXTERNE_C2;SIL_EXTERNE;;DTSIFONCM3D SPAT;0;31/12/2018;T17S0922;;;-975
STOCK_EXTERNE_C2;SIL_EXTERNE;;;BRESSON;00/01/1900;T17S0958;;;42490
STOCK_EXTERNE_C2;SIL_EXTERNE;;PANACHE;CARABASSE;01/01/2018;Y377P;;;-611
STOCK_EXTERNE_C2;SIL_EXTERNE;;PANACHE;CHARPIN-NICOLLES;01/01/2018;T15S0459;;;-611
STOCK_EXTERNE_C3;SIL_EXTERNE;;IRT3DLIFT;BRESSON;31/12/2027;D17S1571;;;-4262
STOCK_EXTERNE_C3;SIL_EXTERNE;;;BANA;;FOSB 3;;;#VALEUR!
STOCK_EXTERNE_C3;SIL_EXTERNE;;;KERDILES;00/01/1900;MONN1B1;;;42490
STOCK_EXTERNE_C3;SIL_EXTERNE;;;KERDILES;00/01/1900;MONPOB5;;;42490
STOCK_EXTERNE_C3;SIL_EXTERNE;;;FLAHAU NAVARRO;01/01/2017;Q538151Q04;;;-246
STOCK_EXTERNE_C3;SIL_EXTERNE;01/10/2018;;BALAN;;Q724217;;;42490
STOCK_EXTERNE_C3;SIL_EXTERNE;;COOL CUBE;BATUDE Perrine;31/12/2017;T15S0245A;;;-610
STOCK_EXTERNE_C3;SIL_EXTERNE;;;ALLOUTI;;T16S0028 / 26;;;#VALEUR!
STOCK_EXTERNE_C3;SIL_EXTERNE;;;ALLOUTI;;T16S0228;;;#VALEUR!
STOCK_EXTERNE_C3;SIL_EXTERNE;;POLIS;BRESSON;31/12/2017;T17C0058;;;-610
STOCK_EXTERNE_C4;SIL_EXTERNE;;;CHARRIER;00/01/1900;D16S0170;;;42490
STOCK_EXTERNE_C4;SIL_EXTERNE;;;NODIN;00/01/1900;J543ATD;;;42490
STOCK_EXTERNE_C4;SIL_EXTERNE;;;KERDILES;00/01/1900;MONN1B2;;;42490
STOCK_EXTERNE_C4;SIL_EXTERNE;;;BREVARD;-;Q511191;;;#VALEUR!
STOCK_EXTERNE_C4;SIL_EXTERNE;;;LU;00/01/1900;Q532200;;;42490
STOCK_EXTERNE_C4;SIL_EXTERNE;;;DEPRAT;31/12/2016;Q542214;;;-245
STOCK_EXTERNE_C4;SIL_EXTERNE;;PANACHE;CHARPIN;01/01/2018;T14S0413A;;;-611
STOCK_EXTERNE_C4;SIL_EXTERNE;01/10/2018;;CHAMIOT-MAITRAL;;T15S0640 / T15S0609;;;42490
STOCK_EXTERNE_C4;SIL_EXTERNE;;;BONNEVIALLE;31/12/2017;T15S0888A;;;-610
STOCK_EXTERNE_C4;SIL_EXTERNE;;;CERBA;;T17S0718;;;42490
STOCK_EXTERNE_C4;SIL_EXTERNE;;DTSIFONCM3D SPAT;ALLOUTI;31/12/2018;T17S1107;;;-975
STOCK_EXTERNE_C5;SIL_EXTERNE;;SIAM;Aurélie THUAIRE;00/01/1900;D16S0041;;;42490
STOCK_EXTERNE_C5;SIL_EXTERNE;;INSPIRE;;30/06/2018;D17S0318;;;-791
STOCK_EXTERNE_C5;SIL_EXTERNE;;DTSI SPAT ETUDE;;31/12/2015;D17S0729A;;;121
STOCK_EXTERNE_D1;SIL_EXTERNE;;ATMOL;Aurélie THUAIRE;00/01/1900;AC809P;;;42490
STOCK_EXTERNE_D1;SIL_EXTERNE;;ENLIGHTENED;;31/05/2019;AD607F;;;-1126
STOCK_EXTERNE_D1;SIL_EXTERNE;;;Vincent Mazzocchi;00/01/1900;CENT300A-15;;;42490
STOCK_EXTERNE_D1;SIL_EXTERNE;;;CHARRIER;00/01/1900;D14S0366A;;;42490
STOCK_EXTERNE_D1;SIL_EXTERNE;;;BANA;31/12/2016;FOSB D;;;-245
STOCK_EXTERNE_D1;SIL_EXTERNE;;;FASOLA/SEGAUD/DAVAL;;FOSBI1;;;#VALEUR!
STOCK_EXTERNE_D1;SIL_EXTERNE;;;BREVARD;-;Q511153;;;#VALEUR!
STOCK_EXTERNE_D1;SIL_EXTERNE;;;NAVARRO;;SSL CONFINE / Q821006;;;42490
STOCK_EXTERNE_D1;SIL_EXTERNE;;;GARCIA BARROS;31/12/2017;T15F0008;;;-610
STOCK_EXTERNE_D1;SIL_EXTERNE;;;DEPRAT;31/12/2016;T15S0578 / Q5190251;;;-245
STOCK_EXTERNE_D1;SIL_EXTERNE;;CARNOTEXCUBE;BRUNET;30/06/2020;T17S0694;;;-1522
STOCK_EXTERNE_D2;SIL_EXTERNE;;EUROPRACTICE;0;31/12/2015;D15S0709 (DE);;;121
STOCK_EXTERNE_D2;SIL_EXTERNE;;MAGSENS;CYRILLE;31/12/2015;D16S2327.1;;;121
STOCK_EXTERNE_D2;SIL_EXTERNE;;;RIVOIRE;;FCVD 5 PLQS ;;;#VALEUR!
STOCK_EXTERNE_D2;SIL_EXTERNE;;;;;MIMIC_1;;;42490
STOCK_EXTERNE_D2;SIL_EXTERNE;;;BREVARD;;Q448011;;;#VALEUR!
STOCK_EXTERNE_D2;SIL_EXTERNE;;;BREVARD;31/12/2016;Q525072;;;-245
STOCK_EXTERNE_D2;SIL_EXTERNE;;;DAVAL;31/12/2017;Q608150 BIS / T16S0342;;;-610
STOCK_EXTERNE_D2;SIL_EXTERNE;;ARKEMA;CHAMIOT-MAITRAL;30/11/2019;T15S0891;;;-1309
STOCK_EXTERNE_D2;SIL_EXTERNE;;DTSIFONCTM3D;ALLOUTI;31/12/2015;T16S0095;;;121
STOCK_EXTERNE_D2;SIL_EXTERNE;;;EUVRARD;;WLNPX / WPN27 NA14 ZK;;;#VALEUR!
STOCK_EXTERNE_D3;SIL_EXTERNE;;;DARANLOT;31/12/2017;6SOP3077 25 PLQ;;;-610
STOCK_EXTERNE_D3;SIL_EXTERNE;;PANACHE;BERNASCONI;01/01/2018;AD491A;;;-611
STOCK_EXTERNE_D3;SIL_EXTERNE;;;CHARPIN-NICOLLE;01/01/2018;D15S1053B;;;-611
STOCK_EXTERNE_D3;SIL_EXTERNE;;;GARCIA BARROS;31/12/2016;PLAQUES TEST SIBCN;;;-245
STOCK_EXTERNE_D3;SIL_EXTERNE;;;BONNEVIAL;31/12/2016;Q505214 / T15S0301;;;-245
STOCK_EXTERNE_D3;SIL_EXTERNE;;;BREVARD;;Q508206;;;#VALEUR!
STOCK_EXTERNE_D3;SIL_EXTERNE;;;CHARPIN-NICOLLE;31/12/2017;Q5250098Q01 / q525  / T14S0760;;;-610
STOCK_EXTERNE_D3;SIL_EXTERNE;;;GARCIA BARROS;31/12/2016;Q525200;;;-245
STOCK_EXTERNE_D3;SIL_EXTERNE;;;BRESSON;21/12/2017;Q607212;;;-600
STOCK_EXTERNE_D3;SIL_EXTERNE;;IMAG;AUMONT;31/12/2015;T14S0060;;;121
STOCK_EXTERNE_D3;SIL_EXTERNE;;;DEPRAT;31/12/2016;T15S0578 / Q529025 / P14;;;-245
STOCK_EXTERNE_D4;SIL_EXTERNE;;PANACHE;BERNASCONI;01/01/2018;AC662P;;;-611
STOCK_EXTERNE_D4;SIL_EXTERNE;;CAPTIVE;BONNARD - DIEPPEDALE;31/12/2020;D15S1820H - D16S0287B+C+D;;;-1706
STOCK_EXTERNE_D4;SIL_EXTERNE;;SIAM;Aurélie THUAIRE;30/09/2016;D16S0562;;;-153
STOCK_EXTERNE_D5;SIL_EXTERNE;;PANACHE;BERNASCONI;01/01/2018;AC423F;;;-611
STOCK_EXTERNE_D5;SIL_EXTERNE;;DTSI SPAT ETUDE;0;31/12/2015;D15S1404;;;121
STOCK_EXTERNE_D5;SIL_EXTERNE;;INSPIRE;0;30/06/2018;D16S2760;;;-791
STOCK_EXTERNE_E1;SIL_EXTERNE;;COMPOFOCUS;ALLAIN;31/12/2015;D15S1264A;;;121
STOCK_EXTERNE_E1;SIL_EXTERNE;;IRT3DLIFT;BRESSON;31/12/2027;D17S1572;;;-4262
